node_id,lon,lat
681,113.336146,23.158461
682,113.335878,23.158932
683,113.335639,23.159353
684,113.335557,23.159495
685,113.335424,23.159596
686,113.335383,23.159627
687,113.33517,23.159878
688,113.334756,23.160098
689,113.334651,23.160206
690,113.334397,23.160278
691,113.334185,23.160398
692,113.333992,23.160479
693,113.333744,23.160449
694,113.333456,23.160273
695,113.332955,23.159904
696,113.332872,23.159867
697,113.332829,23.159879
698,113.332607,23.159992
699,113.332188,23.159924
700,113.342388,23.158209
701,113.342341,23.158767
702,113.34231,23.159128
703,113.34245,23.15873
704,113.342571,23.158627
705,113.342608,23.158485
706,113.342562,23.158335
707,113.338153,23.154322
708,113.337986,23.154552
709,113.337756,23.154866
710,113.337597,23.155084
711,113.337444,23.155293
712,113.336851,23.154964
713,113.34253,23.152775
714,113.34259,23.15277
715,113.342672,23.152762
716,113.342876,23.152759
717,113.339329,23.150806
718,113.339509,23.150559
719,113.339859,23.15011
720,113.340104,23.149983
721,113.341016,23.149515
722,113.337881,23.168102
723,113.33794,23.168154
724,113.337943,23.168188
725,113.337946,23.16821
726,113.337822,23.168378
727,113.338418,23.168191
728,113.338437,23.168119
729,113.338495,23.168072
730,113.338562,23.16806
731,113.338608,23.168094
732,113.338643,23.168151
733,113.338638,23.168188
734,113.338635,23.168213
735,113.338592,23.168257
736,113.338525,23.168272
737,113.338463,23.168247
738,113.338871,23.168188
739,113.338557,23.167979
740,113.338533,23.168363
741,113.341039,23.149403
742,113.340994,23.149284
743,113.340937,23.149093
744,113.340891,23.148915
745,113.340852,23.148726
746,113.340799,23.148442
747,113.340726,23.148079
748,113.340681,23.147864
749,113.340625,23.147574
750,113.340601,23.147451
751,113.340581,23.147336
752,113.340563,23.147211
753,113.340549,23.147102
754,113.340528,23.146934
755,113.340519,23.146829
756,113.340508,23.14664
757,113.340505,23.146411
758,113.340511,23.146125
759,113.34052,23.145578
760,113.340526,23.145199
761,113.340545,23.144573
762,113.341391,23.150158
763,113.341262,23.150008
764,113.341201,23.149919
765,113.341104,23.14973
766,113.340981,23.149419
767,113.341566,23.150323
768,113.341732,23.150482
769,113.3418,23.150571
770,113.342059,23.151005
771,113.343164,23.152615
772,113.343047,23.152516
773,113.342916,23.152395
774,113.342747,23.152227
775,113.342655,23.15213
776,113.342516,23.151971
777,113.342401,23.151837
778,113.342336,23.151759
779,113.342263,23.151664
780,113.342202,23.151584
781,113.342081,23.151403
782,113.341474,23.150308
783,113.344062,23.153213
784,113.343643,23.152945
785,113.343603,23.152919
786,113.343288,23.152713
787,113.345257,23.154294
788,113.345147,23.154182
789,113.34492,23.153941
790,113.3448,23.15382
791,113.344701,23.153727
792,113.344484,23.153534
793,113.344338,23.153412
794,113.344212,23.153316
795,113.342291,23.152642
796,113.342183,23.152588
797,113.342099,23.152505
798,113.342155,23.151783
799,113.342084,23.151046
800,113.34209,23.151057
801,113.342113,23.151097
802,113.342275,23.151377
803,113.342618,23.150987
804,113.342675,23.150998
805,113.342719,23.151014
806,113.342749,23.151045
807,113.342759,23.151091
808,113.342748,23.151123
809,113.342711,23.151225
810,113.342645,23.151411
811,113.3426,23.151453
812,113.342408,23.151509
813,113.34224,23.151562
814,113.34216,23.15156
815,113.342106,23.151534
