u,v,walk_dis_m,car_dis_m
303,304,13,13
304,303,13,2000000000
304,305,13,13
305,304,13,2000000000
41,306,9,9
306,41,9,9
306,307,4,4
307,306,4,4
307,308,16,16
308,307,16,16
308,309,23,23
309,308,23,23
309,310,26,26
310,309,26,26
310,311,15,15
311,310,15,15
311,312,9,9
312,311,9,9
312,313,37,37
313,312,37,37
313,314,2,2
314,313,2,2
314,315,31,31
315,314,31,31
315,316,61,61
316,315,61,61
316,317,30,30
317,316,30,30
317,318,75,75
318,317,75,75
318,319,42,42
319,318,42,42
319,320,35,35
320,319,35,35
41,321,74,74
321,41,74,74
321,322,11,11
322,321,11,11
322,323,27,27
323,322,27,27
324,325,66,66
325,324,66,66
325,326,16,16
326,325,16,16
326,327,17,17
327,326,17,17
327,323,58,58
323,327,58,58
323,328,6,6
328,323,6,6
328,329,21,21
329,328,21,21
329,330,9,9
330,329,9,9
330,331,77,77
331,330,77,77
331,332,63,63
332,331,63,63
332,333,5,5
333,332,5,5
333,334,88,88
334,333,88,88
334,335,13,13
335,334,13,13
335,336,11,11
336,335,11,11
337,338,6,6
338,337,6,2000000000
338,339,6,6
339,338,6,2000000000
339,340,6,6
340,339,6,2000000000
340,341,6,6
341,340,6,2000000000
341,342,6,6
342,341,6,2000000000
342,343,6,6
343,342,6,2000000000
343,344,6,6
344,343,6,2000000000
344,345,6,6
345,344,6,2000000000
345,346,6,6
346,345,6,2000000000
346,347,6,6
347,346,6,2000000000
347,348,6,6
348,347,6,2000000000
348,336,6,6
336,348,6,2000000000
336,349,6,6
349,336,6,2000000000
349,350,6,6
350,349,6,2000000000
350,351,6,6
351,350,6,2000000000
351,352,6,6
352,351,6,2000000000
352,353,6,6
353,352,6,2000000000
353,354,6,6
354,353,6,2000000000
354,337,6,6
337,354,6,2000000000
355,356,15,15
356,355,15,15
356,357,6,6
357,356,6,6
357,358,14,14
358,357,14,14
358,359,33,33
359,358,33,33
359,360,50,50
360,359,50,50
360,361,11,11
361,360,11,11
361,362,25,25
362,361,25,25
362,363,68,68
363,362,68,68
363,364,42,42
364,363,42,42
364,365,22,22
365,364,22,22
365,366,64,64
366,365,64,64
366,367,52,52
367,366,52,52
367,368,11,11
368,367,11,11
208,369,15,2000000000
369,208,15,2000000000
369,370,20,2000000000
370,369,20,2000000000
370,371,78,2000000000
371,370,78,2000000000
371,213,33,2000000000
213,371,33,2000000000
371,372,13,2000000000
372,371,13,2000000000
372,373,10,2000000000
373,372,10,2000000000
373,374,20,2000000000
374,373,20,2000000000
374,368,66,2000000000
368,374,66,2000000000
375,376,54,2000000000
376,375,54,2000000000
376,377,35,2000000000
377,376,35,2000000000
377,378,32,2000000000
378,377,32,2000000000
378,368,58,2000000000
368,378,58,2000000000
374,378,26,2000000000
378,374,26,2000000000
331,379,33,33
379,331,33,33
379,380,41,41
380,379,41,41
380,381,7,7
381,380,7,7
381,382,36,36
382,381,36,36
382,383,14,14
383,382,14,14
383,384,4,4
384,383,4,4
384,385,40,40
385,384,40,40
385,386,79,79
386,385,79,79
386,44,59,59
44,386,59,59
193,387,34,34
387,193,34,34
387,388,85,85
388,387,85,85
388,389,24,24
389,388,24,24
389,390,55,55
390,389,55,55
390,391,10,10
391,390,10,10
391,392,29,29
392,391,29,29
392,393,25,25
393,392,25,25
393,394,98,98
394,393,98,98
394,395,86,86
395,394,86,86
320,396,52,52
396,320,52,52
396,395,58,58
395,396,58,58
395,397,16,16
397,395,16,16
397,398,42,42
398,397,42,42
398,399,37,37
399,398,37,37
399,400,51,51
400,399,51,51
400,32,12,12
32,400,12,12
401,402,6,2000000000
402,401,6,2000000000
