u,v,walk_dis_m,car_dis_m
1348,1349,5,2000000000
1349,1348,5,2000000000
1349,386,5,2000000000
386,1349,5,2000000000
669,1350,11,2000000000
1350,669,11,2000000000
1350,1351,16,2000000000
1351,1350,16,2000000000
1351,1352,5,2000000000
1352,1351,5,2000000000
1352,1353,24,2000000000
1353,1352,24,2000000000
1353,1354,47,2000000000
1354,1353,47,2000000000
1354,1355,35,2000000000
1355,1354,35,2000000000
1355,1356,8,2000000000
1356,1355,8,2000000000
1356,1357,6,2000000000
1357,1356,6,2000000000
1357,35,5,2000000000
35,1357,5,2000000000
539,1358,140,140
1358,539,140,140
1358,1359,54,54
1359,1358,54,54
1359,1360,44,44
1360,1359,44,44
1360,398,21,2000000000
398,1360,21,2000000000
1361,188,18,2000000000
188,1361,18,2000000000
1362,1361,48,2000000000
1361,1362,48,2000000000
1326,1363,11,2000000000
1363,1326,11,2000000000
1363,1364,4,2000000000
1364,1363,4,2000000000
1364,1365,6,2000000000
1365,1364,6,2000000000
1365,1366,19,2000000000
1366,1365,19,2000000000
1366,1367,24,2000000000
1367,1366,24,2000000000
1367,630,17,2000000000
630,1367,17,2000000000
1337,1368,32,2000000000
1368,1337,32,2000000000
1368,1369,37,2000000000
1369,1368,37,2000000000
1369,1370,49,2000000000
1370,1369,49,2000000000
1370,1366,3,2000000000
1366,1370,3,2000000000
204,434,48,48
434,204,48,48
434,1371,35,35
1371,434,35,35
1371,1372,10,10
1372,1371,10,10
1372,1373,16,16
1373,1372,16,16
1373,1374,50,50
1374,1373,50,50
423,1375,25,25
1375,423,25,25
1375,427,16,16
427,1375,16,16
428,1371,63,63
1371,428,63,63
1373,1375,63,63
1375,1373,63,63
1376,618,12,12
618,1376,12,12
1377,616,24,24
616,1377,24,24
